,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
,Andalucia,Date,Aragon,Asturias,Baleares,Canarias,Cantabria,Castilla La Mancha,Castilla y Leon,Cataluna,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,Pais Vasco,La Rioja,Andalucia,Date,Aragon,Asturias,Baleares,Canarias,Cantabria,Castilla La Mancha,Castilla y Leon,Cataluna,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,Pais Vasco,La Rioja
38,7.874007874011811,2020-04-12,5.0,4.0,3.1622776601683795,0.0,1.7320508075688772,7.745966692414834,6.4031242374328485,9.899494936611665,4.47213595499958,3.0,3.605551275463989,13.92838827718412,0.0,1.7320508075688772,2.23606797749979,6.244997998398398,3.4641016151377544,62.0,2020-04-12,25.0,16.0,10.0,0.0,9.0,103.0,74.0,295.0,43.0,9.0,13.0,194.0,0.0,3.0,13.0,39.0,12.0
39,4.0,2020-04-13,3.7416573867739413,2.6457513110645907,2.23606797749979,1.0,2.6457513110645907,9.1104335791443,6.48074069840786,11.40175425099138,6.164414002968976,3.0,3.1622776601683795,12.041594578792296,0.0,2.0,2.6457513110645907,5.196152422706632,2.0,16.0,2020-04-13,28.0,7.0,5.0,6.0,7.0,83.0,91.5,251.5,38.0,27.5,10.0,206.0,0.0,4.0,25.5,42.0,4.0
40,4.58257569495584,2020-04-14,5.291502622129181,2.8284271247461903,1.0,2.449489742783178,1.7320508075688772,9.38083151964686,6.0,9.797958971132712,5.5677643628300215,3.605551275463989,2.449489742783178,12.041594578792296,0.0,2.23606797749979,3.1622776601683795,5.291502622129181,3.3166247903554,47.0,2020-04-14,28.0,8.0,10.0,6.0,13.0,88.0,74.0,250.5,31.0,13.0,6.0,185.0,0.0,5.0,10.0,28.0,11.0
41,5.385164807134504,2020-04-15,4.69041575982343,2.6457513110645907,2.6457513110645907,1.4142135623730951,3.4641016151377544,6.4031242374328485,6.164414002968976,15.874507866387544,6.164414002968976,2.8284271247461903,3.0,12.489995996796797,0.0,1.7320508075688772,1.7320508075688772,6.557438524302,3.4641016151377544,29.0,2020-04-15,22.0,7.0,7.0,6.0,12.0,81.0,62.0,252.0,38.0,8.0,9.0,156.0,0.0,3.0,14.0,43.0,12.0
42,6.855654600401044,2020-04-16,5.385164807134504,2.0,2.449489742783178,1.7320508075688772,2.23606797749979,6.4031242374328485,5.916079783099616,12.84523257866513,5.196152422706632,4.123105625617661,3.3166247903554,12.36931687685298,0.0,1.4142135623730951,3.0,7.3484692283495345,3.3166247903554,47.0,2020-04-16,29.0,16.0,6.0,3.0,10.0,75.0,55.0,208.0,27.0,17.0,11.0,153.0,0.0,2.0,9.0,54.0,11.0
43,5.291502622129181,2020-04-17,4.358898943540674,3.1622776601683795,1.7320508075688772,2.0,2.6457513110645907,7.483314773547883,5.385164807134504,11.575836902790225,5.196152422706632,3.605551275463989,3.1622776601683795,11.40175425099138,0.0,1.0,0.0,6.0,0.0,28.0,2020-04-17,19.0,10.0,7.5,4.0,7.0,56.0,59.0,243.0,27.0,13.0,10.0,130.0,0.0,4.0,11.0,36.0,0.0
44,5.196152422706632,2020-04-18,6.244997998398398,2.0,3.7416573867739413,2.0,2.23606797749979,7.810249675906654,5.291502622129181,11.269427669584644,6.557438524302,2.8284271247461903,3.7416573867739413,11.180339887498949,0.0,1.7320508075688772,4.0,5.291502622129181,3.872983346207417,27.0,2020-04-18,39.0,4.0,14.0,4.0,5.0,61.0,49.0,201.0,43.0,18.0,14.0,125.0,0.0,3.0,16.0,28.0,15.0
45,5.0990195135927845,2020-04-19,4.242640687119285,2.6457513110645907,2.6457513110645907,2.0,2.0,7.0710678118654755,5.385164807134504,7.3484692283495345,4.795831523312719,2.0,3.4641016151377544,10.344080432788601,0.0,1.0,3.872983346207417,6.48074069840786,2.23606797749979,26.0,2020-04-19,18.0,7.0,7.0,4.0,4.0,50.0,52.0,163.0,23.0,4.0,12.0,107.0,0.0,8.0,15.0,42.0,5.0
46,4.47213595499958,2020-04-20,4.242640687119285,1.4142135623730951,1.4142135623730951,0.0,2.23606797749979,7.615773105863909,5.916079783099616,8.717797887081348,3.7416573867739413,2.23606797749979,2.449489742783178,10.583005244258363,0.0,1.0,4.0,4.358898943540674,0.0,20.0,2020-04-20,18.0,8.5,2.0,0.0,5.0,58.0,50.0,159.5,14.0,5.0,6.0,112.0,0.0,1.0,16.0,19.0,7.0
47,2.0,2020-04-21,2.449489742783178,2.0,2.0,1.0,2.6457513110645907,7.3484692283495345,5.291502622129181,11.958260743101398,3.1622776601683795,2.8284271247461903,2.8284271247461903,10.44030650891055,0.0,1.7320508075688772,3.4641016151377544,4.69041575982343,4.123105625617661,12.0,2020-04-21,17.0,4.0,4.0,1.0,7.0,54.0,56.5,177.5,16.5,8.0,23.5,109.0,0.0,6.5,12.0,22.0,17.0
